entity_name,entity_type,aliases,evidence_files,notes
滨江科创中心一期工程,Project,滨江科创中心一期,01;02;03;04;05;06,演示项目核心实体
研发办公楼,Building,办公楼,01;03;04;05;06,项目单体
实验楼,Building,,01;03;04;06,项目单体
地下车库,Building,车库,01;03;04;05;06,项目单体
江州滨科置业有限公司,Organization,建设单位,01;02;04,项目开发单位
江州建筑设计研究院有限公司,Organization,设计单位,01;02;06,项目设计单位
华东新城建设集团有限公司,Organization,施工总承包单位;总包单位,01;02;03;04;05;06,项目施工单位
安衡工程咨询有限公司,Organization,监理单位,01;02;05;06,项目监理单位
江州钢铁供应链有限公司,Organization,钢筋供应商,02;04,材料供应单位
清源机电设备有限公司,Organization,暖通设备供应商,02;03;04;06,设备供应单位
江州恒基建材有限公司,Organization,混凝土供应商,04,材料供应单位
周明远,Person,,02,建设单位负责人
林岚,Person,,02;03;06,建筑专业负责人
陈启航,Person,,02;05,项目经理
赵凯,Person,,02;05;06,安全负责人
孙若川,Person,,02;05;06,总监理工程师
建设单位项目负责人,Role,,02,项目角色
建筑专业负责人,Role,,02,项目角色
项目经理,Role,,02,项目角色
安全负责人,Role,,02,项目角色
总监理工程师,Role,,02,项目角色
BIM 协同平台,Technology,BIM平台,01;03;06,项目协同技术
装配式施工,Technology,装配式施工技术,03,研发办公楼施工技术
防水混凝土施工,Technology,防水混凝土施工技术,03,地下车库施工技术
C40 商品混凝土,Material,C40混凝土,03;04,主体结构材料
HRB400E 钢筋,Material,HRB400E钢筋,03;04,主体结构材料
磁悬浮冷水机组,Equipment,冷水机组,03;04;06,实验楼暖通设备
塔式起重机,Equipment,塔吊,03;04;05,施工设备
施工总承包合同,Contract,BJ-KC-ZCB-2025-001,01;04,总承包合同
钢筋采购合同,Contract,BJ-KC-GJ-2025-017,04,材料采购合同
暖通设备采购合同,Contract,BJ-KC-NT-2026-006,04,设备采购合同
地下车库渗水整改事件,Event,车库渗水事件,05;06,质量整改事件
研发办公楼吊具更换事件,Event,吊具更换事件,05;06,安全整改事件
实验楼暖通设计变更事件,Event,暖通设计变更,06,设计变更事件
