source,relation,target,evidence_files,notes
江州滨科置业有限公司,DEVELOPS,滨江科创中心一期工程,01;02,建设单位开发项目
江州建筑设计研究院有限公司,DESIGNS,滨江科创中心一期工程,01,总体设计
江州建筑设计研究院有限公司,DESIGNS,研发办公楼,02;06,建筑设计协调
江州建筑设计研究院有限公司,DESIGNS,实验楼,02;06,建筑设计与变更
华东新城建设集团有限公司,CONSTRUCTS,滨江科创中心一期工程,01;02;04,施工总承包
华东新城建设集团有限公司,CONSTRUCTS,研发办公楼,03;04;06,单体施工
华东新城建设集团有限公司,CONSTRUCTS,实验楼,03;04;06,单体施工
华东新城建设集团有限公司,CONSTRUCTS,地下车库,03;04;06,单体施工
安衡工程咨询有限公司,SUPERVISES,滨江科创中心一期工程,01;02;06,全过程监理
孙若川,SUPERVISES,滨江科创中心一期工程,02;05;06,总监理工程师监督项目
研发办公楼,LOCATED_IN,滨江科创中心一期工程,01;03,单体隶属项目
实验楼,LOCATED_IN,滨江科创中心一期工程,01;03,单体隶属项目
地下车库,LOCATED_IN,滨江科创中心一期工程,01;03,单体隶属项目
周明远,WORKS_AT,江州滨科置业有限公司,02,人员任职
林岚,WORKS_AT,江州建筑设计研究院有限公司,02,人员任职
陈启航,WORKS_AT,华东新城建设集团有限公司,02,人员任职
赵凯,WORKS_AT,华东新城建设集团有限公司,02,人员任职
孙若川,WORKS_AT,安衡工程咨询有限公司,02,人员任职
周明远,SERVES_AS,建设单位项目负责人,02,人员角色
林岚,SERVES_AS,建筑专业负责人,02,人员角色
陈启航,SERVES_AS,项目经理,02,人员角色
赵凯,SERVES_AS,安全负责人,02,人员角色
孙若川,SERVES_AS,总监理工程师,02,人员角色
周明远,PARTICIPATES_IN,滨江科创中心一期工程,02,参与项目
陈启航,PARTICIPATES_IN,滨江科创中心一期工程,02,参与项目
江州钢铁供应链有限公司,PARTICIPATES_IN,滨江科创中心一期工程,02;04,参与供应
清源机电设备有限公司,PARTICIPATES_IN,滨江科创中心一期工程,02;04,参与供应
林岚,RESPONSIBLE_FOR,研发办公楼,02;03,负责建筑设计协调
林岚,RESPONSIBLE_FOR,实验楼,02;03;06,负责建筑设计协调
陈启航,RESPONSIBLE_FOR,地下车库渗水整改事件,05,组织整改
赵凯,RESPONSIBLE_FOR,研发办公楼吊具更换事件,05;06,组织整改
滨江科创中心一期工程,USES,BIM 协同平台,01;03;06,协同平台
研发办公楼,USES,装配式施工,03,施工技术
地下车库,USES,防水混凝土施工,03,施工技术
研发办公楼,USES,C40 商品混凝土,03;04,结构材料
研发办公楼,USES,HRB400E 钢筋,03;04,结构材料
实验楼,USES,C40 商品混凝土,03;04,结构材料
实验楼,USES,HRB400E 钢筋,03;04,结构材料
实验楼,USES,磁悬浮冷水机组,03;04;06,暖通设备
地下车库,USES,C40 商品混凝土,03;04,结构材料
地下车库,USES,HRB400E 钢筋,03;04,结构材料
地下车库,USES,塔式起重机,03;04,施工设备
滨江科创中心一期工程,GOVERNED_BY,施工总承包合同,01;04,总承包合同约束
华东新城建设集团有限公司,GOVERNED_BY,钢筋采购合同,04,采购合同约束
华东新城建设集团有限公司,GOVERNED_BY,暖通设备采购合同,04,采购合同约束
江州钢铁供应链有限公司,SUPPLIES,HRB400E 钢筋,04,供应钢筋
江州恒基建材有限公司,SUPPLIES,C40 商品混凝土,04,供应混凝土
清源机电设备有限公司,SUPPLIES,磁悬浮冷水机组,03;04,供应暖通设备
地下车库渗水整改事件,AFFECTS,地下车库,05,影响防水质量
地下车库渗水整改事件,RECTIFIED_BY,华东新城建设集团有限公司,05;06,施工单位整改
研发办公楼吊具更换事件,AFFECTS,研发办公楼,05,影响吊装作业
研发办公楼吊具更换事件,RECTIFIED_BY,华东新城建设集团有限公司,05,施工单位整改
研发办公楼吊具更换事件,RECTIFIED_BY,赵凯,05;06,安全负责人组织整改
实验楼暖通设计变更事件,AFFECTS,实验楼,06,影响暖通系统
实验楼暖通设计变更事件,RECTIFIED_BY,江州建筑设计研究院有限公司,06,设计单位调整
